dataset,model,CR_number,ER_number,CR,RR,ER,GACE,RI,MY_MEASURE
anneal.arff,algorithm_mincov_0_1_threshold_0_6,3,0,"IF strength >= 450.00 THEN class = 2 (p=19, n=11, P=99, N=799)","IF width >= 1,410.05 THEN class = 2 (p=14, n=2, P=99, N=799)","IF strength >= 450.00 AND width >= 1,410.05 THEN class = 3 (p=1, n=0, P=684, N=214)",0.004060435485422541,1.6427770226211675,0.3686868686868687
anneal.arff,algorithm_mincov_0_1_threshold_0_7,0,0,"IF surface-quality = {E} THEN class = 3 (p=297, n=13, P=684, N=214)","IF carbon >= 3.50 THEN class = 3 (p=74, n=2, P=684, N=214)","IF surface-quality = {E} AND carbon >= 3.50 THEN class = U (p=2, n=0, P=40, N=858)",0.027043646448143218,4.612510799129679,0.5055668016194332
anneal.arff,algorithm_mincov_0_1_threshold_0_7,1,0,"IF carbon >= 3.50 THEN class = 3 (p=74, n=2, P=684, N=214)","IF surface-quality = {E} THEN class = 3 (p=297, n=13, P=684, N=214)","IF carbon >= 3.50 AND surface-quality = {E} THEN class = U (p=2, n=0, P=40, N=858)",0.014867822769160106,5.311476362193531,0.554093567251462
anneal.arff,algorithm_mincov_0_1_threshold_0_8,0,0,"IF surface-quality = {E} THEN class = 3 (p=297, n=13, P=684, N=214)","IF carbon >= 3.50 THEN class = 3 (p=74, n=2, P=684, N=214)","IF surface-quality = {E} AND carbon >= 3.50 THEN class = U (p=2, n=0, P=40, N=858)",0.027043646448143218,4.612510799129679,0.5055668016194332
anneal.arff,algorithm_mincov_0_1_threshold_0_8,1,0,"IF carbon >= 3.50 THEN class = 3 (p=74, n=2, P=684, N=214)","IF surface-quality = {E} THEN class = 3 (p=297, n=13, P=684, N=214)","IF carbon >= 3.50 AND surface-quality = {E} THEN class = U (p=2, n=0, P=40, N=858)",0.014867822769160106,5.311476362193531,0.554093567251462
anneal.arff,algorithm_mincov_0_1_threshold_0_9,0,0,"IF surface-quality = {E} THEN class = 3 (p=297, n=13, P=684, N=214)","IF carbon >= 3.50 THEN class = 3 (p=74, n=2, P=684, N=214)","IF surface-quality = {E} AND carbon >= 3.50 THEN class = U (p=2, n=0, P=40, N=858)",0.027043646448143218,4.612510799129679,0.5055668016194332
anneal.arff,algorithm_mincov_0_1_threshold_0_9,1,0,"IF carbon >= 3.50 THEN class = 3 (p=74, n=2, P=684, N=214)","IF surface-quality = {E} THEN class = 3 (p=297, n=13, P=684, N=214)","IF carbon >= 3.50 AND surface-quality = {E} THEN class = U (p=2, n=0, P=40, N=858)",0.014867822769160106,5.311476362193531,0.554093567251462
autos.arff,algorithm_mincov_0_1_threshold_0_6,0,0,"IF num-of-doors = {four} AND compression-ratio <= 9.00 THEN class = 0 (p=44, n=26, P=67, N=138)","IF peak-rpm <= 4,250.00 THEN class = 0 (p=8, n=5, P=67, N=138)","IF num-of-doors = {four} AND compression-ratio <= 9.00 AND peak-rpm <= 4,250.00 THEN class = -1 (p=4, n=2, P=22, N=183)",0.05932061551375352,1.0586081784400474,0.533486414083429
bupa-liver-disorders.arff,algorithm_mincov_5_threshold_0_6,0,0,"IF sgot >= 22.00 THEN class = 2 (p=124, n=70, P=200, N=145)","IF sgpt <= 10.00 THEN class = 2 (p=7, n=2, P=200, N=145)","IF sgot >= 22.00 AND sgpt <= 10.00 THEN class = 1 (p=2, n=1, P=145, N=200)",0.0030389008976784014,0.8281657450643365,0.4838095238095238
credit-g.arff,algorithm_mincov_5_threshold_0_6,0,0,"IF credit_history = {all paid} AND other_payment_plans = {none} THEN class = bad (p=13, n=4, P=300, N=700)","IF credit_amount >= 10,918.00 THEN class = bad (p=22, n=9, P=300, N=700)","IF credit_history = {all paid} AND other_payment_plans = {none} AND credit_amount >= 10,918.00 THEN class = good (p=1, n=0, P=700, N=300)",0.002406845869045462,2.585263956408167,0.33416666666666667
