dataset,model,thread_time,process_time,raw_time,liczba_regul,liczba_wyjatkow,srednia_dlugosc_reguly,suma_warunkow,avg_coverage,ibs_train,ibs_test
20_whas500.arff,survival_tree,0.0144120190002468,0.04389886800026943,0.014566183090209961,22,0,4.7272727272727275,104,0.0,0.11260814935638287,0.22806542745918026
21_actg320.arff,algorithm_rulekit,0.2805020969999532,5.70173108400013,1.3695623874664307,17,0,4.0588235294117645,69,0.26,0.054182346500175456,0.06950188788335089
21_actg320.arff,algorithm_log_rank,145.36534113200014,145.41679205900027,145.38819074630737,16,0,4.1875,67,0.25,0.05500100001099673,0.0701497780041002
21_actg320.arff,algorithm_log_rank_with_exceptions,1180.4690122440002,1180.891469623,1180.6206588745117,16,0,4.1875,67,0.25,0.05500100001099673,0.0701497780041002
21_actg320.arff,survival_tree,0.016309567000462266,0.016401378999944427,0.016309261322021484,22,0,4.636363636363637,102,0.0,0.045748168912473866,0.09546443679333634
22_wcgs.arff,algorithm_rulekit,0.7938489899997876,6.505070851999335,2.0196754932403564,10,0,2.3,23,0.32,0.043991175063234196,0.039130562846701786
22_wcgs.arff,algorithm_log_rank,260.09264372600046,260.1828854380001,260.11708521842957,7,0,2.5714285714285716,18,0.34,0.044274927562797745,0.03974924764631421
22_wcgs.arff,algorithm_log_rank_with_exceptions,788.7535828549999,789.008991492,788.9426100254059,4,3,1.5,6,0.55,0.04843855570735257,0.04775334480240726
22_wcgs.arff,survival_tree,0.04146039399984147,0.041550934000042616,0.04145932197570801,27,0,4.851851851851852,131,0.0,0.038023692505822944,0.04167045489916608
23_lac_selected.arff,algorithm_rulekit,0.23341593500026647,6.975584275000074,0.7929370403289795,5,0,3.4,17,0.49,0.16602013779035688,0.21888400768951782
23_lac_selected.arff,algorithm_log_rank,246.95246812300047,247.05042972799947,247.04129433631897,4,0,4.0,16,0.58,0.16579484689783947,0.21888400768951782
23_lac_selected.arff,algorithm_log_rank_with_exceptions,598.433642428,598.6637306399998,598.5225083827972,3,1,3.0,9,0.55,0.19264174034566095,0.22324788254958872
23_lac_selected.arff,survival_tree,0.0376561800003401,0.0773499709994212,0.03765511512756348,9,0,4.111111111111111,37,0.0,0.006968679646193268,0.30765967079736845
24_pbc.arff,algorithm_rulekit,0.12341784899945196,1.1887856980001743,0.4610872268676758,2,0,1.0,2,0.6,0.15186991501755093,0.18668302563921518
24_pbc.arff,algorithm_log_rank,89.96692177800014,89.99636201500016,89.9778242111206,2,0,1.0,2,0.61,0.1528542863012215,0.1981735351744615
24_pbc.arff,algorithm_log_rank_with_exceptions,177.54686188699998,177.60677566100003,177.58924627304077,2,2,1.0,2,0.61,0.14713723274649604,0.17838547123406814
24_pbc.arff,survival_tree,0.022369510999851627,0.0612523619993226,0.022369384765625,19,0,4.578947368421052,87,0.0,0.09309152052329915,0.14649686711695475
25_TRACE.arff,algorithm_rulekit,0.20754161399963778,3.465402050999728,2.0293350219726562,3,0,1.3333333333333333,4,0.93,0.21443125005943967,0.20962572038070976
25_TRACE.arff,algorithm_log_rank,399.32203200299955,399.456282743,399.4409370422363,2,0,1.0,2,0.96,0.2171327959742875,0.21179094086679967
25_TRACE.arff,algorithm_log_rank_with_exceptions,1933.2722361630003,1933.9094419330004,1933.615974664688,2,0,1.0,2,0.96,0.2171327959742875,0.21179094086679967
25_TRACE.arff,survival_tree,0.04615285399995628,0.046204219999708585,0.046152353286743164,28,0,4.857142857142857,136,0.0,0.15849907142248676,0.17103869753442522
