dataset,model,thread_time,process_time,raw_time,liczba_regul,liczba_wyjatkow,srednia_dlugosc_reguly,suma_warunkow,avg_precision,avg_coverage,rmse_train,rmse_test,mae_train,mae_test
elusage.arff,RegressionExceptionRules,0.22285499999998137,0.2229341569999974,0.2228686809539795,6,0,3.8333333333333335,23,0.81,0.85,15.922144657340024,12.056123192004948,9.844115086864127,8.140793692529442
elusage.arff,DecisionTreeRegressor,0.005502550000016981,0.005499884000016664,0.0055027008056640625,10,0,3.8,38,0.0,0.0,7.87577981752985,14.031748364853724,5.9407342105263155,10.283892156862745
fishcatch.arff,RuleKit,0.05256052800001498,0.14578610699999217,0.06878876686096191,13,0,2.5384615384615383,33,0.86,0.93,195.38565499004036,136.43149847130957,108.7606087388572,99.58336801489475
fishcatch.arff,RegressionRules,1.2613597240000445,1.3333184059999894,1.2613780498504639,16,0,5.0,80,0.81,0.82,195.6493162439973,134.81055384413904,108.25448100457085,100.61645939027399
fishcatch.arff,RegressionExceptionRules,6.792791141000009,6.795275936999985,6.816483736038208,16,0,5.0,80,0.81,0.82,195.6493162439973,134.81055384413904,108.25448100457085,100.61645939027399
fishcatch.arff,DecisionTreeRegressor,0.006288253000036548,0.006300194999994346,0.006288290023803711,23,0,4.782608695652174,110,0.0,0.0,48.63164635725412,121.35520277102985,28.729733044733045,76.41555886243385
forestFires.arff,RuleKit,0.1212500330000239,5.546571699000026,1.1661064624786377,24,0,3.125,75,0.98,0.3,63.97618556213298,61.83538863433805,15.667818119440168,16.348564654504223
forestFires.arff,RegressionRules,7.325147135000009,7.330362627999989,7.325193881988525,26,0,4.846153846153846,126,0.98,0.25,64.02865925391951,62.159360140474014,15.854241762354567,16.43581839478554
forestFires.arff,RegressionExceptionRules,32.99095642399999,33.00227608100005,32.995301723480225,26,0,4.846153846153846,126,0.98,0.25,64.02865925391951,62.159360140474014,15.854241762354567,16.43581839478554
forestFires.arff,DecisionTreeRegressor,0.008487957999989248,0.00849781699992036,0.008487939834594727,17,0,4.411764705882353,75,0.0,0.0,52.94670134618059,71.07897956367515,14.854110594238017,20.702018690355228
friedman.arff,RuleKit,0.31224769099998184,15.64995554799998,2.7764220237731934,123,0,4.008130081300813,493,0.79,0.24,3.6741277009189903,4.145960367424328,2.9231131960907986,3.273609616880966
friedman.arff,RegressionRules,160.838059854,160.89721711800007,160.8749873638153,137,0,4.905109489051095,672,0.77,0.25,4.006457166259944,4.266711323147611,3.181486290320014,3.415616650854041
friedman.arff,RegressionExceptionRules,621.653043957,621.8792960459999,621.7777042388916,98,34,3.663265306122449,359,0.74,0.31,3.9194443322466292,4.163570784256445,3.1263304546544033,3.3340136434431544
friedman.arff,DecisionTreeRegressor,0.008056278999902133,0.008159742999851005,0.008056163787841797,31,0,4.967741935483871,154,0.0,0.0,2.3298103854249224,3.099596489615542,1.8238791372603014,2.461512505404666
fruitfly.arff,RuleKit,0.04969592299994474,0.21120923799981028,0.06574249267578125,15,0,2.466666666666667,37,0.85,0.29,15.092781322579386,16.5652069369374,10.478293288863291,12.330132980996842
fruitfly.arff,RegressionRules,0.2403541060000407,0.48042323799995756,0.24035215377807617,15,0,4.466666666666667,67,0.8,0.21,15.652680514870548,15.931677962851303,10.778148519509712,12.033341926539944
fruitfly.arff,RegressionExceptionRules,1.015728271000171,1.1123502540001482,1.0157310962677002,15,0,4.466666666666667,67,0.8,0.21,15.652680514870548,15.931677962851303,10.778148519509712,12.033341926539944
fruitfly.arff,DecisionTreeRegressor,0.005398213999797008,0.005409574999930555,0.005397796630859375,18,0,4.555555555555555,82,0.0,0.0,13.442842063221857,19.064637858261737,9.510892172961139,14.501315789473686
gascons.arff,RuleKit,0.011064383999837446,0.02929259299980913,0.013529539108276367,3,0,1.0,3,0.79,0.78,17.712236962289783,28.025630073971296,13.727466172261256,21.33809523809524
gascons.arff,RegressionRules,0.0628323650000766,0.06285834200002682,0.06283187866210938,4,0,3.0,12,0.79,0.86,20.386775487102238,21.906186547166545,14.618518518518519,15.983310905013033
gascons.arff,RegressionExceptionRules,0.2226328020001347,0.22267312999997557,0.22263097763061523,4,0,3.0,12,0.79,0.86,20.386775487102238,21.906186547166545,14.618518518518519,15.983310905013033
gascons.arff,DecisionTreeRegressor,0.004432833999999275,0.004432963999988715,0.0044329166412353516,5,0,2.4,12,0.0,0.0,7.967754458510319,15.016753771276953,7.016296296296297,13.382222222222225
housing.arff,RuleKit,0.12423010099996645,5.359859218999873,1.638092041015625,30,0,3.8666666666666667,116,0.87,0.61,4.6113586650970975,4.620495962374162,3.111302104203361,3.32224571229623
housing.arff,RegressionRules,16.846378421000054,16.855024189000005,16.849381923675537,32,0,5.0,160,0.86,0.59,4.705602225510064,4.502008724315694,3.2024833398529076,3.2341324241893745
housing.arff,RegressionExceptionRules,92.08514511300018,92.1252259979999,92.09532165527344,31,1,4.870967741935484,151,0.86,0.59,4.713618934864275,4.482705192574551,3.2183276439984017,3.2334096327914073
housing.arff,DecisionTreeRegressor,0.009883064999939961,0.009966792000113855,0.00988316535949707,21,0,4.619047619047619,97,0.0,0.0,2.978356019836119,3.3876854923489494,2.133033860324018,2.4928095505355943
kidney.arff,RuleKit,0.043104432999825804,0.11607915299987326,0.05681610107421875,9,0,2.6666666666666665,24,0.83,0.44,0.49283625052042707,0.6068649473304076,0.360138938573738,0.4298980363334449
kidney.arff,RegressionRules,0.15719045199989523,0.15722260300003654,0.15718913078308105,8,0,4.375,35,0.79,0.35,0.615016865257264,0.6975737032616195,0.42294061147802176,0.5156414155076052
