dataset,model,thread_time,process_time,raw_time,liczba_regul,liczba_wyjatkow,srednia_dlugosc_reguly,suma_warunkow,avg_precision,avg_coverage,balanced_accuracy__train,accuracy__train,recall__train,precision__train,f1_score__train,balanced_accuracy__test,accuracy__test,recall__test,precision__test,f1_score__test
prnn-synth.arff,algorithm_rulekit,0.04495095799995852,0.11551979700004722,0.06122016906738281,15,0,1.8666666666666667,28,0.91,0.65,0.8918300653594771,0.8914285714285715,0.8918300653594771,0.8915229885057472,0.8914143888181314,0.8821428571428571,0.88,0.8821428571428571,0.8805120910384068,0.8799146059420031
prnn-synth.arff,algorithm_cer,0.15296968900008778,0.15301870000007511,0.1529686450958252,14,0,1.8571428571428572,26,0.9,0.69,0.8859477124183006,0.8857142857142857,0.8859477124183006,0.8856452455590387,0.8856806898353802,0.8821428571428571,0.88,0.8821428571428571,0.8805120910384068,0.8799146059420031
prnn-synth.arff,algorithm_cer_with_exceptions_prediction_type_0,1.2137433680001095,1.2147037949999913,1.2137541770935059,13,0,1.4615384615384615,19,0.88,0.7,0.8581699346405229,0.8571428571428571,0.8581699346405229,0.8588266107909901,0.8571241958133307,0.9196428571428572,0.92,0.9196428571428572,0.9196428571428572,0.9196428571428572
prnn-synth.arff,algorithm_cer_with_exceptions_prediction_type_1,1.2137433680001095,1.2147037949999913,1.2137541770935059,13,0,1.4615384615384615,19,0.88,0.7,0.8581699346405229,0.8571428571428571,0.8581699346405229,0.8588266107909901,0.8571241958133307,0.9196428571428572,0.92,0.9196428571428572,0.9196428571428572,0.9196428571428572
prnn-synth.arff,algorithm_cer_with_exceptions_prediction_type_2,1.2137433680001095,1.2147037949999913,1.2137541770935059,13,0,1.4615384615384615,19,0.88,0.7,0.8581699346405229,0.8571428571428571,0.8581699346405229,0.8588266107909901,0.8571241958133307,0.9196428571428572,0.92,0.9196428571428572,0.9196428571428572,0.9196428571428572
prnn-synth.arff,algorithm_cer_with_exceptions_prediction_type_3,1.2137433680001095,1.2147037949999913,1.2137541770935059,13,0,1.4615384615384615,19,0.88,0.7,0.8581699346405229,0.8571428571428571,0.8581699346405229,0.8588266107909901,0.8571241958133307,0.9196428571428572,0.92,0.9196428571428572,0.9196428571428572,0.9196428571428572
prnn-synth.arff,decision_tree,0.004868568999995659,0.004897042000038709,0.004868507385253906,14,0,4.285714285714286,60,0.0,0.0,0.9258169934640523,0.9257142857142857,0.9258169934640523,0.925594460412856,0.925675454931556,0.7875000000000001,0.7866666666666666,0.7875000000000001,0.7862731152204836,0.7863247863247863
segment.arff,algorithm_rulekit,0.33558237799991275,4.002070088999972,0.757504940032959,89,0,3.6741573033707864,327,0.97,0.48,0.9639459059589234,0.9647495361781077,0.9639459059589234,0.966391175988191,0.9641155263216282,0.9288418391540935,0.924963924963925,0.9288418391540935,0.930676198423889,0.9281073082965575
segment.arff,algorithm_cer,77.94874179699991,78.35407068400002,78.18747210502625,83,0,3.6265060240963853,301,0.97,0.46,0.9601882396901026,0.961038961038961,0.9601882396901026,0.962711319075101,0.9604389795143711,0.9217565583846021,0.9177489177489178,0.9217565583846021,0.9243389635737641,0.9211030838182385
segment.arff,algorithm_cer_with_exceptions_prediction_type_0,1006.2859201800001,1006.854891954,1009.61305975914,80,0,3.0875,247,0.94,0.46,0.9486816879088497,0.9499072356215214,0.9486816879088497,0.9507232353326114,0.9488381470099606,0.9212581809317025,0.9177489177489178,0.9212581809317025,0.9237387493872783,0.9212047193585698
